BIN:Bamiyan:Bamiyan:Afghanistan:AF:67 49 0 E:34 48 0 N:701
BST:Bost:Bost:Afghanistan:AF:64 22 0 E:31 33 0 N:701
CCN:Chakcharan:Chakcharan:Afghanistan:AF:65 16 0 E:34 32 0 N:701
DAZ:Darwaz:Darwaz:Afghanistan:AF:70 53 0 E:38 28 0 N:701
FBD:Faizabad:Faizabad:Afghanistan:AF:70 30 0 E:37 5 0 N:701
FAH:Farah:Farah:Afghanistan:AF:62 10 0 E:32 22 0 N:701
GRG:Gardez:Gardez:Afghanistan:AF:69 7 0 E:33 37 0 N:701
GZI:Ghazni:Ghazni:Afghanistan:AF:68 25 0 E:33 0 0 N:701
HEA:Herat:Herat:Afghanistan:AF:62 14 0 E:34 11 0 N:701
JAA:Jalalabad:Jalalabad:Afghanistan:AF:70 30 0 E:34 24 0 N:701
KDH:Kandahar:Kandahar:Afghanistan:AF:65 51 0 E:31 30 0 N:701
KHT:Khost:Khost:Afghanistan:AF:69 57 0 E:33 20 0 N:701
KWH:Khwahan:Khwahan:Afghanistan:AF:70 12 0 E:37 53 0 N:701
KBL:Khwaja Rawash:Kabul:Afghanistan:AF:69 12 44 E:34 33 57 N:701
UND:Kunduz:Kunduz:Afghanistan:AF:68 53 0 E:36 39 0 N:701
KUR:Kuran-O-Munjan:Kuran-O-Munjan:Afghanistan:AF:71 7 0 E:38 24 0 N:701
MMZ:Maimana:Maimana:Afghanistan:AF:64 44 0 E:35 55 0 N:701
MZR:Mazar-i-sharif:Mazar-i-sharif:Afghanistan:AF:67 12 35 E:36 42 25 N:701
IMZ:Nimroz:Nimroz:Afghanistan:AF:61 56 0 E:31 6 0 N:701
LQN:Qala Nau:Qala Nau:Afghanistan:AF:63 40 0 E:34 57 0 N:701
SBF:Sardeh Band:Sardeh Band:Afghanistan:AF:68 37 54 E:33 17 52 N:701
SGA:Sheghnan:Sheghnan:Afghanistan:AF:71 43 0 E:38 2 0 N:701
TQN:Taluqan:Taluqan:Afghanistan:AF:69 30 0 E:36 30 0 N:701
TII:Tirinkot:Tirinkot:Afghanistan:AF:65 52 39 E:32 37 43 N:701
URN:Urgoon:Urgoon:Afghanistan:AF:69 8 0 E:32 55 0 N:701
URZ:Uruzgan:Uruzgan:Afghanistan:AF:66 37 0 E:32 54 0 N:701
ZAJ:Zaranj:Zaranj:Afghanistan:AF:61 53 0 E:31 6 0 N:701
TIA:Rinas Mother Teresa:Tirana:Albania:AL:19 43 14 E:41 24 53 N:401
AZR:Adrar:Adrar:Algeria:DZ:0 17 0 W:27 53 0 N:500
TMR:Aguemar:Tamanrasset:Algeria:DZ:6 31 39 E:37 3 49 N:500
OGX:Ain Beida:Ouargla:Algeria:DZ:5 24 0 E:31 55 0 N:500
BUJ:Ain Eddis:Boussaada:Algeria:DZ:4 12 23 E:35 19 57 N:500
CZL:Ain El Bey:Constantine:Algeria:DZ:6 37 9 E:36 17 7 N:500
BLJ:Batna:Batna:Algeria:DZ:6 10 0 E:35 33 0 N:500
BJA:Bejaia:Bejaia:Algeria:DZ:5 5 0 E:36 45 0 N:500
BSK:Biskra:Biskra:Algeria:DZ:5 44 0 E:34 48 0 N:500
BMW:Bordj Badji Mokhtar:Bordj Badji Mokhtar:Algeria:DZ:1 4 0 E:21 8 0 N:500
TID:Bouchekif Abde Al-hafidh Boussof:Tiaret:Algeria:DZ:16 29 0 W:14 6 0 N:500
ELG:Djamet:El Golea:Algeria:DZ:2 51 35 E:30 34 17 N:500
ORN:Es Senia:Oran:Algeria:DZ:0 37 0 W:35 37 0 N:500
GBB:Gara Djebilet:Gara Djebilet:Algeria:DZ:7 21 0 W:26 9 0 N:500
ELU:Guemar:El Oued:Algeria:DZ:6 47 0 E:33 31 0 N:500
ALG:Houari Boumediene:Algiers:Algeria:DZ:3 3 0 E:36 47 0 N:500
VVZ:Illizi:Illizi:Algeria:DZ:8 28 0 E:26 29 0 N:500
IAM:In Amenas:In Amenas:Algeria:DZ:9 38 34 E:28 3 6 N:500
INZ:In Salah:In Salah:Algeria:DZ:2 31 0 E:27 15 0 N:500
DJG:Inedbirenne:Djanet:Algeria:DZ:9 30 0 E:24 27 0 N:500
GJL:Jijel:Jijel:Algeria:DZ:5 53 0 E:36 48 0 N:500
KDF:Kouba:Kouba:Algeria:DZ:15 39 0 E:7 48 0 N:500
LOO:Laghouat:Laghouat:Algeria:DZ:2 55 42 E:33 45 52 N:500
CBH:Leger:Bechar:Algeria:DZ:2 15 0 W:31 39 0 N:500
AAE:Les Salines:Annaba:Algeria:DZ:8 0 0 E:36 50 0 N:500
MUW:Mascara-Ghriss:Mascara-Ghriss:Algeria:DZ:0 8 50 E:35 12 28 N:500
MZW:Mechria:Mechria:Algeria:DZ:0 17 0 W:33 33 0 N:500
MQV:Mostaganem:Mostaganem:Algeria:DZ:17 47 8 E:43 14 52 N:500
INF:Newark Liberty International:In Guezzam:Algeria:DZ:5 45 0 E:19 34 0 N:500
GHA:Noumerate:Ghardaia:Algeria:DZ:3 49 0 E:32 23 0 N:500
HME:Oued Irara Apt:Hassi Messaoud:Algeria:DZ:6 9 0 E:31 40 0 N:500
QSF:Setif:Setif:Algeria:DZ:5 24 34 E:36 11 29 N:500
SKI:Skikda:Skikda:Algeria:DZ:6 57 0 E:36 52 10 N:500
TAF:Tafaraoui:Oran:Algeria:DZ:0 43 0 W:35 43 0 N:500
TMX:Timimoun:Timimoun:Algeria:DZ:0 15 0 W:29 15 0 N:500
TIN:Tindouf:Tindouf:Algeria:DZ:8 10 2 W:27 42 1 N:500
TGR:Touggourt:Touggourt:Algeria:DZ:6 4 0 E:33 6 0 N:500
TLM:Zenata:Tlemcen:Algeria:DZ:1 18 54 W:34 52 42 N:500
FTI:Fitiuta:Fitiuta:American Samoa:AS:169 27 0 W:14 13 0 S:5
PPG:International:Pago Pago:American Samoa:AS:170 43 0 W:14 20 0 S:5
